title,company,location,date,job_url,job_description,Seniority level,Employment type,Job function,Industries,cloud_focus
Data Engineer,Seeds,"Santiago Metropolitan Region, Chile",2025-04-07,https://www.linkedin.com/jobs/view/4189755534/,"¿Sos 
Data Engineer
? Entonces… ¿Qué estás esperando para sumarte a nuestra comunidad de Seeders? ¡Aplica a nuestra comunidad y accede a trabajo on-demand en las empresas líderes, sumate al Present of Work!
¿Quiénes somos?
Somos una 
comunidad
 que reúne al mejor talento on-demand de Latinoamérica, y lo conecta con las empresas líderes de la región. Gestionamos el match perfecto entre las necesidades de las empresas y el talento con las competencias y la experiencia buscada, fomentando flexibilidad y el desarrollo profesional de nuestra comunidad.
No somos una plataforma más de freelancers, Seeds lidera un dream team de profesionales altamente calificados que eligen dónde, cómo y para quién trabajar, disfrutando así de contribuir a una misión más grande, definiendo y moldeando la forma en que trabajamos.
Estamos buscando sumar a nuestro Talent Pool roles de 
Data Engineer
 para nuestra comunidad de Seeders.
Estas son algunas de las responsabilidades usuales del rol:
- Diseñar, construir y mantener arquitecturas de datos robustas y escalables.
- Desarrollar y optimizar pipelines de datos para recopilación, almacenamiento, procesamiento y análisis de grandes volúmenes de datos.
- Implementar modelos de datos y algoritmos para resolver problemas de negocio y proveer insights accionables.
- Trabajar en estrecha colaboración con equipos de data scientists y analistas para apoyar sus requisitos de datos y facilitar el análisis de datos.
- Asegurar la integridad, disponibilidad y confidencialidad de los datos a través de las mejores prácticas de seguridad y gobernanza de datos.
- Mantenerse al día con las últimas tecnologías y tendencias en el campo de la ingeniería de datos.
Requisitos
- Experiencia mínima de 3 años en roles de ingeniería de datos.
- Fuerte dominio de lenguajes de programación como Python, Java o Scala.
- Experiencia trabajando con grandes volúmenes de datos y herramientas de procesamiento de datos (como Hadoop, Spark).
- Conocimientos en bases de datos SQL y NoSQL, así como en soluciones de almacenamiento de datos en la nube (AWS, Google Cloud, Azure).
- Capacidad para trabajar en entornos ágiles y multidisciplinarios.
- Inglés intermedio (deseable).
¿Por qué sumarte a nuestra comunidad de Seeders?
Elegí tus proyectos.
Trabajá desde donde vos quieras.
Eventos de networking.
Asesoramiento personalizado.
Seeds Academy: Potencia tu desarrollo profesional adquiriendo nuevas skills (upskilling & reskilling), participando de webinars, Bootcamps y otras acciones exclusivas para la comunidad.
No dejes de sumarte a nuestra comunidad de Seeds y aplicar a oportunidades de empresas lideres de la región. ¡Te esperamos!        
            
                            
            ",Mid-Senior level,Full-time,Consulting,"Technology, Information and Media",OTHER
Ingeniero de Datos ($1.400.000 líquidos),Vector,"Santiago, Santiago Metropolitan Region, Chile",2025-04-07,https://www.linkedin.com/jobs/view/4203857279/,"Somos una empresa Líder en el rubro TI. Nos encontramos en la búsqueda de Ingeniero de Datos, con experiencia en extracción de datos desde los sistemas fuente de estándares industriales y eléctricos y su almacenaje en los destinos correspondientes, así como también el asegurar la continuidad del funcionamiento de aplicaciones y redes OT que proporcionan datos a PMAC y ROCC.
Principales Tareas
- Sistematizar el traspaso de datos desde los distintos sistemas de la compañía hacia los repositorios correspondientes para su consumo.
- Participar en proyectos y entregar soluciones técnicas, procesos y requisitos.
- Enfoque en la creación de indicadores y KPI relevantes de las diferentes aplicaciones para reportar a nivel técnico y administrativo.
- Realizar revisiones continuas de monitoreo para asegurarse de la continuidad del servicio.
- Monitorear y controlar solicitudes y requerimientos de soporte (gestión de tickets).
- Gestionar cualquier proceso de solicitud de cambio, asegurándose de que todas las solicitudes estén debidamente documentadas y rastreadas. 
- Entregar soporte para que los servicios de OT se entreguen de acuerdo con los procedimientos operativos estándar y/o SLAs acordados; con enfoque en el servicio operativo, resolución de problemas y respuesta ágil para el usuario final.
- Escalar consultas complejas a la organización de soporte especializado correspondiente.
- Identificar oportunidades de mejora del servicio a partir del análisis de tendencias de datos y las necesidades y aportes de los clientes/usuarios.
- Involucrarse con stakeholders clave y para comprender sus requisitos y transmitir al área de resolución correspondiente. 
Conocimientos y experiencia 
- Estudios técnicos o profesionales en Telecomunicaciones, Instrumentación, Sistemas, Computación, Informática, Electrónica o carreras afines).
- Instrumentista con conocimiento en programación y transferencia de datos, o Ingeniero de Datos con conocimiento en protocolos industriales y sus estándares de comunicación.
- Conocimientos de redes de comunicaciones y soluciones de transporte de datos.
- Gestión de datos y visualización usando herramientas cloud (Google, Microsoft).
- Conocimientos de un lenguaje de scripting, preferiblemente Python.
- Manejo básico de base de datos SQL.
- Conocimientos básicos en gestión de accesos e identidades.
- Conocimientos básicos en administración de servidores.
- Experiencia laboral de 5 años preferiblemente en empresas industriales.
- Deseable manejo de ingles a nivel técnico intermedio.
Conocimientos específicos
- Conocimiento de protocolos industriales del sector eléctrico (IEC-60870-5-104, Modbus, DNP 3.0).
- Protocolos Industriales de comunicación: Modbus TCP/IP, JSON, CSV, DNP3, SQL.
- Conocimiento de sistemas SCADA.
- Conocimientos de protocolos de transición con industria 4.0 (Modbus TCP, OPC UA, MQTT, HTTP, etc.).
Fundamentos de ciberseguridad.
Horario
Lunes a viernes 08:00 a 18:00 / 08:30 a 18:30
Beneficios
-  Reajuste anual de sueldo de acuerdo a IPC
-  Bonificación anual por desempeño laboral.
-  Posibilidad de acceder a cursos de capacitación en las diversas temáticas del cargo.
-  Convenios de Salud, Dentales y ópticos, accesos a descuentos preferenciales y facilidades de pagos mediante descuentos por planilla sin interés.
-  Posibilidad de entrega de aguinaldo de fiestas patrias y Navidad conforme a cumplimiento de antigüedad.
-  Convenio seguro Oncológico a valor preferencial y con aporte de la organización y del colaborador.
-  Regalo de gift card por nacimiento de hijo (a).
-  Convenios bancarios (scotiabank y Banco de Chile) para planes de tarjetas de cuentas vista y corriente a valores preferenciales.        
            
                            
            ",Not Applicable,Contract,Information Technology,Information Technology & Services,OTHER
Data & AI - Data Engineer Remoto en Chile,Experis Chile,Chile,2025-04-07,https://www.linkedin.com/jobs/view/4203486002/,"En Experis Chile nos encontramos en búsqueda de Data & AI - Data Engineer modalidad remoto dentro de Chile, para uno de nuestros clientes.
 Job Description:
​• Crea
ción de ETL para movimientos de datos entre sistemas.• Capa
cidad de análisis de datos• Auto
didactas para aprender Skills no mandatorios en caso de no contar.
Skill
s
 mandatorios:• ETL•
 SQL•
 Git• Ski
l
ls deseados (no mandatorios):• Mule
soft• Stre
amSets• Snow
flake• Nive
l de Ingles (Basico/Intermedio/Avanzado?): Básico• Dura
ción de la Asignación: Hasta Julio 2025• Posi
bilidades de extensión: A evaluar durante la asignación
• Mod
a
lidad 100% remoto• Hora
rio de Trabajo: Horario de Chile, entre 9 y 19 hrs de lunes a viernes
                
            
                            
            ",Associate,Full-time,Information Technology,Human Resources Services,OTHER
"Senior Data Engineer - Python, AWS, GitHub",Terminal,Chile,2025-04-07,https://www.linkedin.com/jobs/view/4202029344/,"About ExtractAlpha
Founded in 2013 by Vinesh Jha, ExtractAlpha is an independent research firm dedicated to providing unique, actionable alpha signals to institutional investors. We apply our extensive experience in quantitative analysis and the design of investment analytics products to interesting new data sets. Our rigorously built quantitative signals help our institutional investor clients gain a measurable edge over their competitors.
We partner with some of the world’s leading financial and fintech data firms to identify investment value in big datasets, and help investors profit from unique sources of information.
About The Role
ExtractAlpha is a DaaS (Data as a Service) research firm dedicated to providing unique, actionable alpha signals to investors. We apply our extensive experience in quantitative analysis and the design of investment analytics products to creating data sets. Our quantitative models are designed for investors to gain a measurable edge over their competitors. We also partner with top FinTech data firms to identify investment value in their data sets and help investors profit from these unique new sources of information. Position Overview: As a Senior Data Engineer, you will be responsible for building and optimizing robust data pipelines, focusing on ETL processes, and supporting the architecture that powers our data-driven products. This is a hands-on role that requires a deep understanding of data engineering, cloud technologies (primarily AWS), and modern software development practices. You will work closely with our financial researchers, analysts, and sales to ensure high data quality, availability, and performance.
What You’ll Do
- Design, develop, and maintain scalable ETL pipelines for large-scale data processing.
- Build and optimize data workflows using Airflow and Python.
- Manage and integrate data from diverse sources using 3rd party APIs, SQL, and AWS services.
- Collaborate with cross-functional teams to ensure data architecture aligns with business objectives.
- Ensure data pipelines and infrastructure are highly reliable, maintainable, and scalable.
- Work on performance tuning and optimization of data processing systems.
- Implement and maintain CI/CD pipelines for seamless deployment and automation.
- Create monitoring, logging, and observability systems to track and optimize data systems.
- Troubleshoot, debug, and optimize data workflows to ensure data integrity and accuracy.
- Stay up to date with the latest technologies and trends in data engineering and cloud computing.
What You’ll Bring
Must-Have Requirements:
- 5+ years of experience as a Data Engineer with a focus on ETL processes, Python, Airflow, SQL, and AWS.
- Recent experience working in a small team or as the only dedicated Data Engineer.
- Proven expertise with CI/CD tools and automation for seamless data pipeline delivery.
- Strong problem-solving skills and ability to work autonomously.
- Experience with building and maintaining high-performing, reliable, and scalable data architectures. Nice-to-Have Skills:
- Expertise with AWS services such as MWAA, Glue, Lambda, EventBridge, Fargate, RDS, Postgres.
- Familiarity with monitoring, logging, and observability frameworks in the context of data pipelines.
- Hands-on experience with cloud data warehouses (e.g., Redshift, Snowflake).
- Familiarity with containerized environments (e.g., Docker, Kubernetes).        
            
                            
            ",Mid-Senior level,Full-time,Information Technology,Software Development,AWS
Data Engineer - Databricks - Senior,Lumenalta,Chile,2025-04-07,https://www.linkedin.com/jobs/view/4202590451/,"Experience Remote done Right. With over 20 years of remote experience, all 500+ staff are 100% remote, and we still grow vibrant relationships and provide exceptional opportunities for career growth while working with stellar clients on ambitious projects.
What we're working on:
Enterprise companies turn to us to help them launch innovative digital products that interact with hundreds of millions of customers, transactions and data points. The problems we solve daily are real and require creativity, grit and determination. We are building a culture that challenges norms while fostering experimentation and personal growth. To grasp the scale of problems we face, ideally, you have some exposure to Logistics, FinTech, Transportation, Insurance, Media or other complex multifactor industries.
Requirements
- 7+ years experience in a senior developer role using Python; ideally, you have delivered business-critical software to large enterprises
- You are comfortable manipulating large data sets and handling raw SQL
- Experience using technologies such as Pyspark/AWS/Databricks is essential
- Experience creating ETL Pipeline from scratch
- E-commerce and Financial Services industry experience preferred
- English fluency, verbal and written
- Personality traits: Professional, problem solver, proactive, passionate, team player.
Why Lumenalta is an amazing place to work at
At Lumenalta, you can expect that you will:
- Be 100% dedicated to one project at a time so that you can innovate and grow.
- Be a part of a team of talented and friendly senior-level developers.
- Work on projects that allow you to use leading tech.
The result? We produce meaningful outcomes for our clients that break barriers in their industries.
The job is 100% Remote; please ensure you have a comfortable office set at your desired work location.
Lumenalta is committed to hiring exceptional talent from a wide variety of diverse backgrounds. If you share our values and enthusiasm for digital transformation, we encourage you to apply
What's it like to work at Lumenalta?        
            
                            
            ",Mid-Senior level,Full-time,"Engineering, Information Technology, and Consulting",IT Services and IT Consulting,AWS
Data Engineer - Snowflake - Mid Level,Lumenalta,Chile,2025-04-07,https://www.linkedin.com/jobs/view/4202607829/,"Experience Remote done Right. With over 20 years of remote experience, our 500+ team members are 100% remote, and we continue to cultivate vibrant relationships and provide exceptional opportunities for career growth while working with stellar clients on ambitious projects.
What we're working on:
Enterprise companies turn to us to help them launch innovative digital products that interact with hundreds of millions of customers, transactions, and data points. The challenges we solve daily are real and require creativity, grit, and determination. We are building a culture that challenges norms while fostering experimentation and personal growth. To grasp the scale of the problems we face, ideally, you have some exposure to Logistics, FinTech, Transportation, Insurance, Media, or other complex multifactor industries.
Requirements
- 3+ years experience in a senior developer role using Python; ideally, you have delivered business-critical software to large enterprises
- You are comfortable manipulating large data sets and handling raw SQL
- Experience using technologies such as Snowflake, AWS, and ETL pipelines is essential.
- Have extensive experience with data warehousing and working with scalability of large volumes of structured data
- Financial Services industry experience preferred
- English fluency, verbal and written
- Personality traits: Professional, problem solver, proactive, passionate, team player.
Why Lumenalta is an amazing place to work at
At Lumenalta, you can expect that you will:
- Be 100% dedicated to one project at a time so that you can innovate and grow.
- Be a part of a team of talented and friendly senior-level developers.
- Work on projects that allow you to use leading tech.
The result? We produce meaningful outcomes for our clients that break barriers in their industries.
The job is 100% Remote; please ensure you have a comfortable office set at your desired work location.
Lumenalta is committed to hiring exceptional talent from a wide variety of diverse backgrounds. If you share our values and enthusiasm for digital transformation, we encourage you to apply
What's it like to work at Lumenalta?        
            
                            
            ",Mid-Senior level,Full-time,"Engineering, Information Technology, and Consulting",IT Services and IT Consulting,AWS
Data Engineer - Databricks - Tech Lead,Lumenalta,Chile,2025-04-07,https://www.linkedin.com/jobs/view/4202604721/,"Experience Remote done Right. With over 20 years of remote experience, all 500+ staff are 100% remote, and we still grow vibrant relationships and provide exceptional opportunities for career growth while working with stellar clients on ambitious projects.
What we're working on:
Enterprise companies turn to us to help them launch innovative digital products that interact with hundreds of millions of customers, transactions and data points. The problems we solve daily are real and require creativity, grit and determination. We are building a culture that challenges norms while fostering experimentation and personal growth. To grasp the scale of problems we face, ideally, you have some exposure to Logistics, FinTech, Transportation, Insurance, Media or other complex multifactor industries.
Requirements
- 10+ years experience in a senior developer role using Python; ideally, you have delivered business-critical software to large enterprises
- You are comfortable manipulating large data sets and handling raw SQL
- Experience using technologies such as Pyspark/AWS/Databricks is essential
- Experience creating ETL Pipeline from scratch
- Experience leading teams and managing projects
- E-commerce and Financial Services industry experience preferred
- English fluency, verbal and written
- Experience dealing with C-Suite level stakeholders
- Personality traits: Professional, problem solver, proactive, passionate, team orientated.
Why Lumenalta is an amazing place to work at
At Lumenalta, you can expect that you will:
- Be 100% dedicated to one project at a time so that you can innovate and grow.
- Be a part of a team of talented and friendly senior-level developers.
- Work on projects that allow you to use leading tech.
The result? We produce meaningful outcomes for our clients that break barriers in their industries.
The job is 100% Remote; please ensure you have a comfortable office set at your desired work location.
Lumenalta is committed to hiring exceptional talent from a wide variety of diverse backgrounds. If you share our values and enthusiasm for digital transformation, we encourage you to apply
What's it like to work at Lumenalta?        
            
                            
            ",Mid-Senior level,Full-time,"Engineering, Information Technology, and Consulting",IT Services and IT Consulting,AWS
Data Engineer - Databricks - Senior,Lumenalta,"Santiago, Santiago Metropolitan Region, Chile",2025-04-07,https://www.linkedin.com/jobs/view/4202591440/,"Experience Remote done Right. With over 20 years of remote experience, all 500+ staff are 100% remote, and we still grow vibrant relationships and provide exceptional opportunities for career growth while working with stellar clients on ambitious projects.
What we're working on:
Enterprise companies turn to us to help them launch innovative digital products that interact with hundreds of millions of customers, transactions and data points. The problems we solve daily are real and require creativity, grit and determination. We are building a culture that challenges norms while fostering experimentation and personal growth. To grasp the scale of problems we face, ideally, you have some exposure to Logistics, FinTech, Transportation, Insurance, Media or other complex multifactor industries.
Requirements
- 7+ years experience in a senior developer role using Python; ideally, you have delivered business-critical software to large enterprises
- You are comfortable manipulating large data sets and handling raw SQL
- Experience using technologies such as Pyspark/AWS/Databricks is essential
- Experience creating ETL Pipeline from scratch
- E-commerce and Financial Services industry experience preferred
- English fluency, verbal and written
- Personality traits: Professional, problem solver, proactive, passionate, team player.
Why Lumenalta is an amazing place to work at
At Lumenalta, you can expect that you will:
- Be 100% dedicated to one project at a time so that you can innovate and grow.
- Be a part of a team of talented and friendly senior-level developers.
- Work on projects that allow you to use leading tech.
The result? We produce meaningful outcomes for our clients that break barriers in their industries.
The job is 100% Remote; please ensure you have a comfortable office set at your desired work location.
Lumenalta is committed to hiring exceptional talent from a wide variety of diverse backgrounds. If you share our values and enthusiasm for digital transformation, we encourage you to apply
What's it like to work at Lumenalta?        
            
                            
            ",Mid-Senior level,Full-time,"Engineering, Information Technology, and Consulting",IT Services and IT Consulting,AWS
Data Engineer - Databricks - Tech Lead,Lumenalta,Chile,2025-04-07,https://www.linkedin.com/jobs/view/4202602349/,"Experience Remote done Right. With over 20 years of remote experience, all 500+ staff are 100% remote, and we still grow vibrant relationships and provide exceptional opportunities for career growth while working with stellar clients on ambitious projects.
What we're working on:
Enterprise companies turn to us to help them launch innovative digital products that interact with hundreds of millions of customers, transactions and data points. The problems we solve daily are real and require creativity, grit and determination. We are building a culture that challenges norms while fostering experimentation and personal growth. To grasp the scale of problems we face, ideally, you have some exposure to Logistics, FinTech, Transportation, Insurance, Media or other complex multifactor industries.
Requirements
- 10+ years experience in a senior developer role using Python; ideally, you have delivered business-critical software to large enterprises
- You are comfortable manipulating large data sets and handling raw SQL
- Experience using technologies such as Pyspark/AWS/Databricks is essential
- Experience creating ETL Pipeline from scratch
- Experience leading teams and managing projects
- E-commerce and Financial Services industry experience preferred
- English fluency, verbal and written
- Experience dealing with C-Suite level stakeholders
- Personality traits: Professional, problem solver, proactive, passionate, team orientated.
Why Lumenalta is an amazing place to work at
At Lumenalta, you can expect that you will:
- Be 100% dedicated to one project at a time so that you can innovate and grow.
- Be a part of a team of talented and friendly senior-level developers.
- Work on projects that allow you to use leading tech.
The result? We produce meaningful outcomes for our clients that break barriers in their industries.
The job is 100% Remote; please ensure you have a comfortable office set at your desired work location.
Lumenalta is committed to hiring exceptional talent from a wide variety of diverse backgrounds. If you share our values and enthusiasm for digital transformation, we encourage you to apply
What's it like to work at Lumenalta?        
            
                            
            ",Mid-Senior level,Full-time,"Engineering, Information Technology, and Consulting",IT Services and IT Consulting,AWS
Data Engineer - Snowflake - Senior,Lumenalta,Chile,2025-04-07,https://www.linkedin.com/jobs/view/4202612288/,"Experience Remote done Right. With over 20 years of remote experience, our 500+ team members are 100% remote, and we continue to cultivate vibrant relationships and provide exceptional opportunities for career growth while working with stellar clients on ambitious projects.
What we're working on:
Enterprise companies turn to us to help them launch innovative digital products that interact with hundreds of millions of customers, transactions, and data points. The challenges we solve daily are real and require creativity, grit, and determination. We are building a culture that challenges norms while fostering experimentation and personal growth. To grasp the scale of the problems we face, ideally, you have some exposure to Logistics, FinTech, Transportation, Insurance, Media, or other complex multifactor industries.
Requirements
- 7+ years experience in a senior developer role using Python; ideally, you have delivered business-critical software to large enterprises
- You are comfortable manipulating large data sets and handling raw SQL
- Experience using technologies such as Snowflake, AWS, and ETL pipelines is essential.
- Have extensive experience with data warehousing and working with scalability of large volumes of structured data
- Financial Services industry experience preferred
- English fluency, verbal and written
- Personality traits: Professional, problem solver, proactive, passionate, team player.
Why Lumenalta is an amazing place to work at
At Lumenalta, you can expect that you will:
- Be 100% dedicated to one project at a time so that you can innovate and grow.
- Be a part of a team of talented and friendly senior-level developers.
- Work on projects that allow you to use leading tech.
The result? We produce meaningful outcomes for our clients that break barriers in their industries.
The job is 100% Remote; please ensure you have a comfortable office set at your desired work location.
Lumenalta is committed to hiring exceptional talent from a wide variety of diverse backgrounds. If you share our values and enthusiasm for digital transformation, we encourage you to apply
What's it like to work at Lumenalta?        
            
                            
            ",Mid-Senior level,Full-time,"Engineering, Information Technology, and Consulting",IT Services and IT Consulting,AWS
